worm_id,id_path,x_microscope,y_microscope,x_proportion,y_proportion,prediction,user_label,seen
0,0,-6199.185786306858,-11531.85499113798,0.9231891660296336,0.1089182933372596,-1.0,,True
5,1,-5989.806423544884,90.70762783288956,0.43325081134649,0.1177444863085727,-1.0,,False
7,2,-5922.254080485553,71.40982508659363,0.4340642923348469,0.1205920927184928,-1.0,,False
6,3,-5917.4967976771295,95.20807206630708,0.4330610992911241,0.120792631565934,-1.0,,False
8,4,-4607.72797319293,5348.6275515556335,0.2116080703317258,0.1760047223862185,-1.0,,False
9,5,9210.261158391831,10413.429534375668,-0.0018939628780973,0.7584892468496927,-1.0,,False
10,6,9277.852272734046,10335.384731605647,0.0013959434458573,0.761338487627107,-1.0,,False
4,7,-482.37806141376495,-7554.725388601422,0.7555369538877194,0.3499050242843813,-1.0,,False
3,8,-536.2649646401405,-7665.428779996932,0.7602035527451547,0.3476334718246331,-1.0,,False
2,9,-3636.354662656784,-10503.826901063325,0.8798535947334102,0.2169520639621969,-1.0,,False
1,10,-3744.582195982337,-10573.20439618826,0.8827781387369906,0.2123898326069201,-1.0,,False
